transport,traffic,roads,railway,poi,places,landuse,building,city_code,city,longitude,latitude
44.0,23.0,3812.0,163.0,80.0,13.0,64.0,615.0,370200,青岛市,120.1461911,36.44715886
3.0,8.0,757.0,102.0,1.0,6.0,18.0,2.0,371100,日照市,119.1412102,35.57786064
12.0,2.0,794.0,67.0,18.0,11.0,12.0,51.0,370900,泰安市,117.0251512,36.00172708
57.0,40.0,2241.0,28.0,102.0,114.0,195.0,451.0,371000,威海市,121.9956902,37.11742886
4.0,7.0,1020.0,111.0,5.0,17.0,18.0,7.0,370700,潍坊市,119.0725905,36.55151791
5.0,41.0,2614.0,56.0,13.0,23.0,107.0,65.0,370600,烟台市,120.7998224,37.24464008
3.0,8.0,444.0,48.0,2.0,7.0,14.0,2.0,370400,枣庄市,117.3928067,34.91610433
10.0,2.0,1038.0,136.0,9.0,10.0,18.0,6.0,370300,淄博市,118.0532572,36.60786112
16.0,3.0,884.0,305.0,496.0,54.0,48.0,25.0,140200,大同市,113.7192757,39.90042929
5.0,2.0,370.0,22.0,2.0,12.0,38.0,5.0,140500,晋城市,112.706737,35.61051272
21.0,7.0,935.0,368.0,80.0,29.0,105.0,22.0,140700,晋中市,112.9621265,37.32670067
6.0,1.0,526.0,46.0,1e-06,40.0,5.0,2.0,141000,临汾市,111.3766745,36.22673115
7.0,5.0,1081.0,220.0,9.0,23.0,36.0,5.0,141100,吕梁市,111.2626578,37.67870361
4.0,2.0,462.0,76.0,346.0,253.0,16.0,13.0,140600,朔州市,112.641554,39.61686303
9.0,12.0,2029.0,59.0,47.0,19.0,75.0,270.0,140100,太原市,112.3154802,37.95911563
27.0,7.0,1239.0,465.0,664.0,213.0,176.0,6.0,140900,忻州市,112.4086805,38.88214197
5.0,1e-06,417.0,171.0,4.0,10.0,39.0,22.0,140300,阳泉市,113.499385,38.06316904
6.0,4.0,515.0,17.0,1e-06,32.0,10.0,1.0,140800,运城市,111.0659043,35.18753039
12.0,7.0,811.0,169.0,1.0,25.0,88.0,7.0,140400,长治市,112.915697,36.47603248
14.0,1.0,460.0,80.0,1e-06,28.0,12.0,2.0,610900,安康市,108.9262447,32.75748098
16.0,4.0,1010.0,524.0,12.0,40.0,70.0,14.0,610300,宝鸡市,107.2008116,34.37893087
26.0,7.0,1448.0,437.0,1.0,120.0,43.0,2.0,610700,汉中市,107.1030498,33.09051251
6.0,9.0,1026.0,257.0,3.0,19.0,15.0,4.0,611000,商洛市,109.9010118,33.64788831
3.0,1.0,511.0,199.0,8.0,15.0,47.0,2.0,610200,铜川市,109.0331555,35.1960268
21.0,1e-06,375.0,224.0,20.0,26.0,3.0,1.0,610500,渭南市,109.8513244,34.94933878
188.0,34.0,5561.0,215.0,205.0,85.0,359.0,526.0,610100,西安市,108.7916033,34.10705846
4.0,2.0,866.0,79.0,25.0,24.0,60.0,144.0,610400,咸阳市,108.3901729,34.7849521
12.0,4.0,861.0,338.0,1e-06,29.0,43.0,56.0,610600,延安市,109.3153279,36.43705706
13.0,24.0,1954.0,545.0,25.0,38.0,47.0,15.0,610800,榆林市,109.5659762,38.03854295
830.0,235.0,32379.0,1647.0,1022.0,38.0,1146.0,6819.0,310000,上海市,121.4841515,31.21193692
12.0,2.0,791.0,1e-06,38.0,237.0,104.0,76.0,513200,阿坝藏族羌族自治州,102.6092624,32.40023992
1e-06,1e-06,13.0,1e-06,1e-06,27.0,1e-06,1e-06,511900,巴中市,107.0374744,32.01714449
173.0,20.0,6191.0,485.0,423.0,79.0,80.0,654.0,510100,成都市,103.9295936,30.65358578
10.0,1.0,209.0,186.0,1e-06,24.0,4.0,1e-06,511700,达州市,107.6448077,31.36629677
5.0,6.0,164.0,68.0,1.0,10.0,7.0,7.0,510600,德阳市,104.4348345,31.13004513
5.0,2.0,1374.0,1e-06,95.0,364.0,257.0,91.0,513300,甘孜藏族自治州,99.99732028,30.94882592
1.0,1.0,222.0,1e-06,1e-06,9.0,1e-06,1e-06,511600,广安市,106.6634436,30.42638264
6.0,5.0,548.0,319.0,1e-06,202.0,38.0,17.0,510800,广元市,105.7823428,32.26219267
22.0,1.0,288.0,81.0,9.0,31.0,22.0,6.0,511100,乐山市,103.5694769,29.21582511
51.0,1e-06,618.0,95.0,27.0,102.0,49.0,77.0,513400,凉山彝族自治州,102.0797068,27.88574294
1e-06,1.0,231.0,12.0,4.0,25.0,1e-06,2.0,510500,泸州市,105.6662201,28.43989127
9.0,7.0,1041.0,22.0,1e-06,15.0,2.0,49.0,511400,眉山市,103.7521057,29.92686826
23.0,9.0,1193.0,107.0,15.0,393.0,20.0,77.0,510700,绵阳市,104.7029473,31.84913094
4.0,3.0,340.0,81.0,1e-06,13.0,9.0,1.0,511300,南充市,106.2037329,31.19573387
6.0,1e-06,213.0,59.0,1e-06,13.0,1.0,1e-06,511000,内江市,104.9111008,29.64070434
17.0,6.0,931.0,186.0,10.0,20.0,26.0,9.0,510400,攀枝花市,101.729351,26.80726962
3.0,2.0,94.0,23.0,1e-06,10.0,2.0,1e-06,510900,遂宁市,105.4717433,30.63173886
2.0,4.0,1010.0,3.0,2.0,168.0,114.0,62.0,511800,雅安市,102.6626826,29.91315483
2.0,1.0,385.0,55.0,42.0,124.0,2.0,9.0,511500,宜宾市,104.6352507,28.57370624
1.0,1e-06,17.0,2.0,1e-06,5.0,1e-06,1e-06,512000,资阳市,105.1155222,30.10047257
1.0,1e-06,86.0,5.0,1e-06,12.0,1.0,1e-06,510300,自贡市,104.6828319,29.28680007
1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,710000,台湾省,120.9613219,23.74164595
122.0,33.0,13346.0,1227.0,216.0,19.0,329.0,547.0,120000,天津市,117.341577,39.28377537
1e-06,2.0,754.0,1e-06,15.0,130.0,104.0,256.0,542500,阿里地区,82.5576254,33.03023451
1.0,1.0,425.0,1e-06,6.0,48.0,73.0,2.0,540300,昌都市,97.03866125,30.77485008
11.0,12.0,849.0,150.0,50.0,84.0,136.0,2538.0,540100,拉萨市,91.08983076,30.03732204
1e-06,1e-06,253.0,1e-06,10.0,74.0,68.0,163.0,540400,林芝市,95.24222626,29.19477783
13.0,1e-06,439.0,107.0,1.0,29.0,65.0,150.0,540600,那曲市,89.25764323,32.7364181
1e-06,1e-06,2012.0,1e-06,35.0,136.0,45.0,624.0,540200,日喀则市,86.48508281,29.49119206
1e-06,1.0,254.0,1e-06,15.0,43.0,12.0,6.0,540500,山南市,92.26829765,28.30053635
2093.0,503.0,37852.0,1059.0,3434.0,662.0,3332.0,14431.0,810000,香港特别行政区,114.1340515,22.37585917
6.0,8.0,1764.0,160.0,10.0,117.0,84.0,46.0,652900,阿克苏地区,81.54861239,40.96246873
1e-06,1e-06,91.0,1e-06,1.0,30.0,10.0,1e-06,659002,阿拉尔市,81.31426652,40.59961007
1.0,8.0,1304.0,6.0,10.0,44.0,153.0,50.0,654300,阿勒泰地区,88.40471742,46.90696484
2.0,2.0,2212.0,83.0,25.0,35.0,121.0,66.0,652800,巴音郭楞蒙古自治州,87.46599626,39.49118948
1.0,1e-06,97.0,1e-06,1e-06,1.0,3.0,1e-06,659005,北屯市,87.9533151,47.24409572
3.0,1.0,345.0,64.0,6.0,7.0,27.0,236.0,652700,博尔塔拉蒙古自治州,82.10450617,44.72849642
1.0,1.0,880.0,31.0,11.0,18.0,53.0,17.0,652300,昌吉回族自治州,88.63469305,44.34537993
9.0,3.0,654.0,45.0,3.0,14.0,37.0,32.0,650500,哈密市,93.51478478,43.03902053
1e-06,5.0,1604.0,51.0,20.0,29.0,76.0,57.0,653200,和田地区,80.92034052,37.07196936
1.0,1e-06,18.0,1e-06,1e-06,1e-06,1.0,1e-06,659010,胡杨河市,84.78410368,44.84121023
9.0,4.0,2411.0,111.0,34.0,68.0,123.0,198.0,653100,喀什地区,77.18565366,38.12784647
1e-06,1e-06,46.0,15.0,1e-06,1.0,3.0,1e-06,659008,可克达拉市,80.68478349,43.91619011
1.0,1e-06,334.0,12.0,4.0,7.0,18.0,11.0,650200,克拉玛依市,85.20177411,45.49257577
2.0,1e-06,680.0,48.0,20.0,45.0,35.0,105.0,653000,克孜勒苏柯尔克孜自治州,75.94469535,39.65549562
1e-06,1e-06,60.0,3.0,1e-06,6.0,1e-06,7.0,659009,昆玉市,79.02057264,37.47438194
1e-06,1e-06,108.0,7.0,1e-06,1.0,8.0,10.0,659001,石河子市,86.03558277,44.30553786
1.0,1e-06,30.0,1.0,1e-06,1e-06,5.0,1e-06,659007,双河市,82.35995107,44.87414296
1e-06,2.0,638.0,22.0,3.0,17.0,63.0,1.0,654200,塔城地区,84.79133863,45.64115399
1e-06,1e-06,50.0,1e-06,1e-06,1e-06,1e-06,1e-06,659006,铁门关市,85.63722958,41.79844611
1e-06,1e-06,113.0,1e-06,1e-06,24.0,1e-06,1e-06,659003,图木舒克市,79.16129407,39.86972663
3.0,1.0,640.0,117.0,20.0,14.0,50.0,5.0,650400,吐鲁番市,89.82962783,42.38781724
11.0,3.0,4708.0,198.0,122.0,10.0,314.0,866.0,650100,乌鲁木齐市,87.78095236,43.73150711
1e-06,1e-06,9.0,1e-06,1e-06,1e-06,2.0,1e-06,659004,五家渠市,87.55452236,44.36074215
5.0,1.0,1314.0,49.0,16.0,34.0,57.0,50.0,654000,伊犁哈萨克自治州,82.12384007,43.44638579
14.0,8.0,636.0,1e-06,27.0,38.0,52.0,6.0,530500,保山市,98.97171094,24.97631107
51.0,2.0,750.0,114.0,42.0,67.0,20.0,39.0,532300,楚雄彝族自治州,101.5680903,25.35205656
50.0,7.0,2097.0,220.0,200.0,166.0,93.0,65.0,532900,大理白族自治州,100.0391885,25.72801376
20.0,5.0,1665.0,1e-06,19.0,33.0,87.0,58.0,533100,德宏傣族景颇族自治州,98.0849017,24.55904175
6.0,5.0,611.0,1e-06,125.0,56.0,30.0,26.0,533400,迪庆藏族自治州,99.43991782,27.95674408
39.0,12.0,1378.0,299.0,56.0,113.0,100.0,12.0,532500,红河哈尼族彝族自治州,103.0350178,23.43992745
91.0,23.0,4017.0,972.0,372.0,56.0,170.0,64.0,530100,昆明市,102.8727812,25.38683915
16.0,3.0,1675.0,25.0,114.0,53.0,56.0,47.0,530700,丽江市,100.523957,26.94064927
14.0,1.0,556.0,1e-06,31.0,59.0,55.0,7.0,530900,临沧市,99.67293182,23.93912954
9.0,1.0,253.0,1e-06,33.0,51.0,40.0,4.0,533300,怒江傈僳族自治州,98.86955743,26.95909062
16.0,7.0,763.0,1e-06,31.0,42.0,62.0,29.0,530800,普洱市,100.7202111,23.18638245
33.0,13.0,1143.0,477.0,41.0,46.0,96.0,70.0,530300,曲靖市,103.9377706,25.7037554
15.0,3.0,703.0,1e-06,15.0,72.0,80.0,1e-06,532600,文山壮族苗族自治州,104.7136043,23.68968811
11.0,2.0,765.0,1e-06,70.0,23.0,48.0,125.0,532800,西双版纳傣族自治州,100.9428653,21.93173858
19.0,2.0,927.0,106.0,37.0,47.0,60.0,64.0,530400,玉溪市,102.2020078,24.13966474
23.0,10.0,423.0,31.0,13.0,47.0,17.0,6.0,530600,昭通市,104.0020299,27.65344012
129.0,31.0,6924.0,234.0,720.0,74.0,299.0,2796.0,330100,杭州市,119.4708146,29.89986219
70.0,8.0,1542.0,75.0,10.0,14.0,36.0,33.0,330500,湖州市,119.8687764,30.74481198
7.0,2.0,2330.0,2.0,7.0,18.0,18.0,453.0,330400,嘉兴市,120.7790269,30.62192563
7.0,32.0,3148.0,79.0,56.0,46.0,78.0,111.0,330700,金华市,119.9522159,29.11710724
10.0,20.0,3527.0,305.0,3.0,63.0,21.0,63.0,331100,丽水市,119.5120275,28.19927708
40.0,17.0,7618.0,79.0,177.0,80.0,374.0,410.0,330200,宁波市,121.4789837,29.73047805
3.0,19.0,1727.0,39.0,8.0,36.0,19.0,9.0,330800,衢州市,118.6745398,28.93436702
17.0,33.0,4274.0,30.0,84.0,121.0,222.0,90.0,330600,绍兴市,120.6365604,29.7346077
1.0,9.0,2265.0,26.0,18.0,15.0,56.0,20.0,331000,台州市,121.1372207,28.75727043
4.0,11.0,2369.0,111.0,9.0,84.0,58.0,230.0,330300,温州市,120.4644063,27.89566818
7.0,7.0,341.0,1e-06,10.0,47.0,9.0,3.0,330900,舟山市,122.1820674,30.1180369
155.0,52.0,8745.0,831.0,131.0,210.0,370.0,1454.0,500000,重庆市,107.874446,30.05717028
